Moves: 0	Count: 1
Moves: 1	Count: 6
Moves: 2	Count: 18
Moves: 3	Count: 73
Moves: 4	Count: 267
Moves: 5	Count: 851
Moves: 6	Count: 2517
Moves: 7	Count: 6641
Moves: 8	Count: 15806
Moves: 9	Count: 34183
Moves: 10	Count: 65936
Moves: 11	Count: 121738
Moves: 12	Count: 203709
Moves: 13	Count: 298383
Moves: 14	Count: 385716
Moves: 15	Count: 397284
Moves: 16	Count: 325290
Moves: 17	Count: 190582
Moves: 18	Count: 71974
Moves: 19	Count: 14475
Moves: 20	Count: 1499
Moves: 21	Count: 11
Moves: 22	Count: 0
Moves: 23	Count: 0
Moves: 24	Count: 0
Moves: 25	Count: 0
